ROK,WEB_PUBL_DATE,MENA,R1_AREA,R1_POPIS_LNG,S1_POPIS_LNG,H_HODNOTA_PUBL
2016,2018-03-16 10:00:00,CZK,KR,South Korea,Registered capital,25491.68568
2016,2018-03-16 10:00:00,EUR,KR,South Korea,Registered capital,943.437663952628
2016,2018-03-16 10:00:00,USD,KR,South Korea,Registered capital,994.254287608721
2017,2019-03-15 10:00:00,CZK,KR,South Korea,Registered capital,27333.96816
2017,2019-03-15 10:00:00,EUR,KR,South Korea,Registered capital,1070.24150978857
2017,2019-03-15 10:00:00,USD,KR,South Korea,Registered capital,1283.82735240242
2018,2020-03-13 10:00:00,CZK,KR,South Korea,Registered capital,29657.1496
2018,2020-03-13 10:00:00,EUR,KR,South Korea,Registered capital,1152.85324003887
2018,2020-03-13 10:00:00,USD,KR,South Korea,Registered capital,1320.09034095967
2019,2021-03-16 10:00:00,CZK,KR,South Korea,Registered capital,46542.4054
2019,2021-03-16 10:00:00,EUR,KR,South Korea,Registered capital,1831.65704053522
2019,2021-03-16 10:00:00,USD,KR,South Korea,Registered capital,2057.48664515273
2020,2022-03-23 10:00:00,CZK,KR,South Korea,Registered capital,45420.8092622674
2020,2022-03-23 10:00:00,EUR,KR,South Korea,Registered capital,1730.64619021785
2020,2022-03-23 10:00:00,USD,KR,South Korea,Registered capital,2123.75785581275
2021,2023-03-23 10:00:00,CZK,KR,South Korea,Registered capital,47106.9611876758
2021,2023-03-23 10:00:00,EUR,KR,South Korea,Registered capital,1894.88983055816
2021,2023-03-23 10:00:00,USD,KR,South Korea,Registered capital,2146.00524749104
2014,2016-03-22 10:00:00,CZK,KR,South Korea,Reinvestment of earnings,18304.349829
2014,2016-03-22 10:00:00,EUR,KR,South Korea,Reinvestment of earnings,660.210994733995
2014,2016-03-22 10:00:00,USD,KR,South Korea,Reinvestment of earnings,801.626952307962
2015,2017-03-21 10:00:00,CZK,KR,South Korea,Reinvestment of earnings,25803.156646
2015,2017-03-21 10:00:00,EUR,KR,South Korea,Reinvestment of earnings,954.788405032377
2015,2017-03-21 10:00:00,USD,KR,South Korea,Reinvestment of earnings,1039.44395125685
2016,2018-03-16 10:00:00,CZK,KR,South Korea,Reinvestment of earnings,25949.278318
2016,2018-03-16 10:00:00,EUR,KR,South Korea,Reinvestment of earnings,960.372994744634
2016,2018-03-16 10:00:00,USD,KR,South Korea,Reinvestment of earnings,1012.10181044503
2017,2019-03-15 10:00:00,CZK,KR,South Korea,Reinvestment of earnings,32095.874351
2017,2019-03-15 10:00:00,EUR,KR,South Korea,Reinvestment of earnings,1256.6904601018
2017,2019-03-15 10:00:00,USD,KR,South Korea,Reinvestment of earnings,1507.48552679536
2018,2020-03-13 10:00:00,CZK,KR,South Korea,Reinvestment of earnings,33642.22511
2018,2020-03-13 10:00:00,EUR,KR,South Korea,Reinvestment of earnings,1307.7638526725
2018,2020-03-13 10:00:00,USD,KR,South Korea,Reinvestment of earnings,1497.47285275527
2019,2021-03-16 10:00:00,CZK,KR,South Korea,Reinvestment of earnings,29557.203304
2019,2021-03-16 10:00:00,EUR,KR,South Korea,Reinvestment of earnings,1163.21146414797
2019,2021-03-16 10:00:00,USD,KR,South Korea,Reinvestment of earnings,1306.62673197471
2020,2022-03-23 10:00:00,CZK,KR,South Korea,Reinvestment of earnings,31861.3850956
2020,2022-03-23 10:00:00,EUR,KR,South Korea,Reinvestment of earnings,1213.99828903029
2020,2022-03-23 10:00:00,USD,KR,South Korea,Reinvestment of earnings,1489.75476203301
2021,2023-03-23 10:00:00,CZK,KR,South Korea,Reinvestment of earnings,40147.3345502
2021,2023-03-23 10:00:00,EUR,KR,South Korea,Reinvestment of earnings,1614.93702937249
2021,2023-03-23 10:00:00,USD,KR,South Korea,Reinvestment of earnings,1828.9524190333
2014,2016-03-22 10:00:00,CZK,KR,South Korea,Other capital,6190.126
2014,2016-03-22 10:00:00,EUR,KR,South Korea,Other capital,223.268746618575
2014,2016-03-22 10:00:00,USD,KR,South Korea,Other capital,271.09249364982
2015,2017-03-21 10:00:00,CZK,KR,South Korea,Other capital,11480.084
2015,2017-03-21 10:00:00,EUR,KR,South Korea,Other capital,424.794967622572
2015,2017-03-21 10:00:00,USD,KR,South Korea,Other capital,462.459071865936
