"","year","country.x","gp","npos","nneg","nneu","nmention","log_senti","add_senti","import","export","merleg","eu","n_merleg","n_import","n_export","leftright","valasztasi_ev"
"164","2006","Croatia","CN",10,0,6,16,3.04452243772342,0.625,1146398.31,17139.207,-1129259.103,0,-0.243920946744869,0.144857298412672,-1.05415432573563,1,0
"165","2006","Croatia","USA",29,2,34,65,2.46809953147162,0.415384615384615,372059.967,327181.456,-44878.511,0,-0.30655187907319,0.201938482137982,-0.363237854726557,1,0
"166","2006","Croatia","RU",12,1,9,22,2.12026353620009,0.5,2167824.84,123578.347,-2044246.493,0,-1.05472325494514,0.96439294881895,-1.01965152826365,1,0
"167","2006","Croatia","FR",29,0,12,41,4.07753744390572,0.707317073170732,849716.276,212745.256,-636971.02,0,-1.39303862401123,1.10131142792926,-0.785774763354485,1,0
"168","2006","Croatia","DE",46,6,36,88,1.96765013569172,0.454545454545455,3127137.863,1071445.428,-2055692.435,0,-0.648479262044198,-0.23955853188555,-0.825165025434371,1,0
"169","2006","Croatia","UK",10,1,8,19,1.94591014905531,0.473684210526316,406496.961,193041.96,-213455.001,0,-1.07853791324391,0.810295344966273,-0.455133530627655,1,0
"170","2006","Czechia","DE",29,28,62,119,0.0344861760711694,0.00840336134453781,26583076.442,30366436.125,3783359.683,1,-0.533824805949695,0.0412516242847704,-0.169857437633068,0,0
"171","2006","Czechia","RU",26,19,40,85,0.306730267422475,0.0823529411764706,5593601,1894521,-3699080,1,-1.56804528892482,0.551558939705825,-0.326006086169917,0,0
"172","2006","Czechia","UK",13,17,26,56,-0.259511195485085,-0.0714285714285714,2456689,4548918,2092229,1,-0.236205091161732,0.196156709841701,-0.101429174700697,0,0
"173","2006","Czechia","FR",15,5,32,52,1.03609193168678,0.192307692307692,4463305,5268095,804790,1,-0.457302238378334,0.534322163622869,0.0159060826921486,0,0
"174","2006","Czechia","CN",39,11,42,92,1.23395363653787,0.304347826086957,5711362,400773,-5310589,1,0.466790434138531,-0.483117526984256,-0.628217442674337,0,0
"175","2006","Czechia","USA",67,32,175,274,0.730887508542792,0.127737226277372,2178222.561,2183107.151,4884.58999999985,1,0.492942855389602,-0.200670140400862,-0.0666325761285973,0,0
"176","2006","Hungary","FR",17,4,56,77,1.35812348415319,0.168831168831169,3672134,3463762,-208372,1,-1.10304950271855,0.484001110690994,0.0133533165043112,0,0
"177","2006","Hungary","DE",29,42,39,110,-0.365113812584597,-0.118181818181818,21048974,21841723,792749,1,-0.948869140704977,0.278272822733482,0.107800304924378,0,0
"178","2006","Hungary","CN",11,6,4,21,0.570544858467613,0.238095238095238,3858845,762040,-3096805,1,-0.0950936101517835,-0.0437583812449558,-0.329274911340601,0,0
"179","2006","Hungary","UK",12,5,26,43,0.82098055206983,0.162790697674419,1883468,3324415,1440947,1,-0.0844891336391197,0.736212794039907,0.18651907979337,0,0
"180","2006","Hungary","RU",26,14,35,75,0.602996083565648,0.16,6179246,1997876,-4181370,1,-0.999208779969369,0.702540211184175,0.200184218503605,0,0
"181","2006","Hungary","USA",32,20,89,141,0.460815203191329,0.0851063829787234,1293234,2026037,732803,1,0.198720721796509,-0.42385582118897,-0.125103821626992,0,0
"182","2007","Croatia","DE",22,9,42,73,0.862223510603879,0.178082191780822,3718997.308,1237038.619,-2481958.689,0,-1.89038782601879,0.66485372145257,-0.464966357520851,1,0
"183","2007","Croatia","RU",19,1,21,41,2.56494935746154,0.439024390243902,2618796.766,157060.58,-2461736.186,0,-1.51667536412061,1.47206037715841,-0.665926233176148,1,0
"184","2007","Croatia","CN",13,2,8,23,1.68639895357023,0.478260869565217,1603371.838,19840.36,-1583531.478,0,-1.27731348131312,1.2277103434985,-0.99238112650157,1,0
"185","2007","Croatia","FR",10,1,7,18,1.94591014905531,0.5,932491.34,275649.788,-656841.552,0,-1.50075470546128,1.64065820142642,-0.223792533034906,1,0
"186","2007","Croatia","USA",24,1,36,61,2.79320800944252,0.377049180327869,488636.798,347520.264,-141116.534,0,-0.73395746413571,0.96050490899408,-0.168778674278205,1,0
"187","2007","Croatia","UK",7,0,11,18,2.70805020110221,0.388888888888889,465624.027,240421.347,-225202.68,0,-1.20641496310435,1.47424069305573,0.345848393755618,1,0
"188","2007","Czechia","DE",71,113,162,346,-0.462105387221495,-0.121387283236994,32771955.039,37191790.376,4419835.337,1,-0.455610986628337,0.470721595129568,0.139330830438084,1,0
"189","2007","Czechia","USA",226,112,516,854,0.699791723278614,0.133489461358314,2634215.701,2351013.15,-283202.551,1,-0.359861105407468,0.14045821504148,0.0433579226821412,1,0
